what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1383097321012
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1383097321032
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1383097321074
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1383097321084
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1383097321096
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1383097321103
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1383097321103
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1383097321113
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1383097321122
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1383097321133
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1383097321137
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1383097321155
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1383097321167
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1383097321177
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1383097321183
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1383097321189
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1383097321194
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1383097321201
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1383097321205
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1383097321215
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1383097321224
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1383097321232
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1383097321242
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1383097321253
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1383097321253
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1383097321264
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1383097321265
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1383097321275
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1383097321280
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1383097321287
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1383097321294
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1383097321301
os,sysinfo,,,"win32",1383097321305
arch,sysinfo,,,"x86",1383097321305
ws,sysinfo,,,"win32",1383097321305
locale,sysinfo,,,"zh_CN",1383097321305
processors,sysinfo,,,"4",1383097321305
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1383097321305
java.runtime.version,sysinfo,,,"1.6.0_45-b06",1383097321305
java.specification.name,sysinfo,,,"Java Platform API Specification",1383097321305
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383097321305
java.specification.version,sysinfo,,,"1.6",1383097321305
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1383097321305
java.version,sysinfo,,,"1.6.0_45",1383097321305
java.vm.info,sysinfo,,,"mixed mode, sharing",1383097321305
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1383097321305
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1383097321305
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383097321305
java.vm.specification.version,sysinfo,,,"1.0",1383097321305
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1383097321305
java.vm.version,sysinfo,,,"20.45-b01",1383097321305
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1383097321384
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1383097321400
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1383097321444
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383097326240
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383097361359
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1383097361423
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1383097362541
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1383097362999
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1383097363567
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1383097363658
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1383097363730
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1383097363749
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1383097364040
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1383097364060
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1383097364744
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1383097365011
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097365304
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097365476
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097365544
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097365605
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097365664
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097365731
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097365791
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097365854
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1383097365900
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1383097366415
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1383097366447
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1383097366457
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1383097367339
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1383097367369
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383097370015
closed,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1383097370015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383097376745
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383097378952
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1383097378983
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383097995977
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383097997379
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383098323732
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383098323829
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383098325380
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383098390636
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.showInformation",1383098523359
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1383098523427
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383098900807
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383098906624
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099261119
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099261685
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099421051
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099644372
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099650285
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099654048
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099655049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099660898
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099671826
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099671883
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099671928
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099671974
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672031
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672060
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672100
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672129
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672167
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672255
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672329
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672393
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099672439
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1383099672440
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099675227
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099676346
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099678166
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099683917
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099688624
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099739803
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383099743022
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383099778328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100270585
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100273510
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100275253
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1383100275272
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1383100276961
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100288007
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100289812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100377663
